x,y
64 ,-22 
53 ,-6 
40 ,50 
35 ,69 
39 ,-77 
24 ,54 
37 ,3 
-35 ,-58 
41 ,20 
40 ,45 
-9 ,13 
17 ,-62 
43 ,2 
15 ,44 
52 ,0 
32 ,35 
42 ,12 
33 ,44 
36 ,51 
29 ,77 
-6 ,107 
0 ,33 
50 ,31 
41 ,69 
-35 ,-56 
0 ,-79 
30 ,31 
59 ,25 
-26 ,31 
9 ,39 
15 ,39 
14 ,-89 
-35 ,149 
48 ,16 
24 ,59 
52 ,5 
6 ,0 
15 ,-24 
7 ,-58 
51 ,71 
25 ,52 
45 ,-76 
0 ,9 
4 ,12 
38 ,127 
13 ,-17 
12 ,105 
39 ,126 
42 ,21 
10 ,-14 
12 ,-16 
35 ,33 
23 ,-82 
38 ,24 
1 ,173 
43 ,75 
15 ,-91 
29 ,48 
-21 ,-160 
12 ,-62 
46 ,16 
-1 ,37 
7 ,-5 
10 ,-84 
43 ,21 
-12 ,43 
5 ,-74 
,
,
24.6725488,46.7372325
-13.8303712,-171.7668515
0.3391213,6.7331863
-15.4209502,28.3010351
43.9367371,12.4465013
8.4904231,-13.2354989
11.594454,43.148222
17.9669016,-76.7919497
41.7257221,44.775287
33.5156746,36.2956763
1.3067039,103.8431002
-17.8319021,31.0461399
46.9487624,7.4523275
59.3274506,18.0543456
15.6074317,32.5182284
40.4183806,-3.6918174
5.8267931,-55.1512507
6.9076384,79.8949571
48.1439306,17.1097025
46.0499639,14.5072339
-4.6234329,55.4514333
3.7554335,8.7831555
14.6721562,-17.4315476
44.8107948,20.4625572
17.2956212,-62.7251258
13.1547518,-61.2245362
14.0098124,-60.9897053
2.0348901,45.3418305
-9.4353695,159.9633082
13.7538189,100.5018236
,
38.5597722,68.7870384
-6.1785745,35.7508803
50.0782622,14.4212465
12.1052915,15.0448322
4.3635651,18.5836076
39.9046496,116.7184868
36.7974237,10.1659935
-33.4371435,-70.6502521
-8.5243806,179.194428
55.6752833,12.5701632
52.5182775,13.4086443
6.1310843,1.2153581
18.4482387,-69.9269311
15.3015543,-61.3860266
10.6540471,-61.5097941
37.9468045,58.3547629
39.9395921,32.8382867
-21.1327551,-175.1987143
9.0476037,7.5020739
-0.5473977,166.917381
-22.5716018,17.0855789
-19.0550536,-169.9212245
12.1280927,-86.2956727
13.5138169,2.1091785
35.6896342,139.6921007
-41.2893299,174.7774235
27.6987726,85.3120666
59.9121487,10.7337252
26.2334989,50.5720162
18.5504522,-72.3472422
33.6669681,73.0108131
41.9022141,12.4511559
8.9709043,-79.5347442
-17.7365128,168.3150308
25.0696963,-77.381829
-9.4400735,147.1799135
7.4924429,134.6363182
-25.3043626,-57.5595886
13.1012839,-59.5994742
47.507121,19.045669
23.711335,90.4113704
-8.5558455,125.5542215
-18.141372,178.4230519
14.5895137,120.9816112
60.1680707,24.952989
27.4687211,89.6395567
-15.7845812,-47.9079509
48.8564826,2.3524135
42.6969843,23.331701
12.3680826,-1.527066
4.9144004,114.930591
-3.3751554,29.3642066
21.0282935,105.8542103
6.4726571,2.6420373
10.5049943,-66.9150848
53.8952131,27.5497696
17.2514006,-88.7679617
-12.0452322,-77.0311674
50.8465882,4.3518717
52.2317616,21.0061014
43.8589239,18.4334395
-24.6581844,25.9199318
-16.4981187,-68.1339763
38.7081851,-9.1385651
14.111096,-87.176558
7.0858399,171.3732812
-18.9052409,47.5236879
-13.9585607,33.790053
12.6471316,-8.001597
35.8982566,14.5134142
3.152362,101.6940229
6.9202502,158.16205
-25.7440354,28.1936545
4.8372943,31.6061523
19.7465201,96.1295371
19.431793,-99.1339996
-20.1642942,57.5044541
18.085313,-15.972601
-25.9681995,32.5737726
43.7308008,7.4237648
4.1714171,73.5088271
47.0227297,28.8346231
33.9769906,-6.8247161
47.9186873,106.9158415
42.4417374,19.261361
31.945327,35.9241825
17.9688079,102.6198759
56.9478345,24.1064499
54.6781767,25.2869324
32.8911679,13.1867723
47.1407908,9.5220312
6.2954554,-10.7934825
44.4344622,26.0931862
49.6101729,6.1305292
-1.9483086,30.06036
-29.3120149,27.4863691
33.879704,35.5021534
55.7613895,37.6089367
